t_ms,raw,filtered
8535,1220425,1220877.000
8547,1221153,1220918.500
8560,1221261,1220969.875
8572,1220767,1220939.500
8584,1220526,1220877.500
8597,1221340,1220946.875
8609,1221191,1220983.500
8621,1220650,1220933.500
8634,1220553,1220876.500
8646,1221400,1220955.125
8659,1221116,1220979.250
8671,1220636,1220927.750
8683,1220706,1220894.500
8696,1221459,1220979.250
8708,1221069,1220992.750
8720,1220585,1220931.625
8733,1220946,1220933.875
8745,1221458,1221012.500
8757,1220946,1221002.500
8770,1220418,1220914.875
8782,1220899,1220912.500
8794,1221365,1220980.375
8807,1220878,1220965.125
8819,1220491,1220894.000
8831,1221039,1220915.750
8844,1221317,1220976.000
8856,1220856,1220958.000
8868,1220446,1220881.250
8881,1221232,1220933.875
8893,1221326,1220992.750
8905,1220777,1220960.375
8918,1220501,1220891.500
8930,1221434,1220972.875
8942,1221215,1221009.250
8955,1220728,1220967.125
8967,1220677,1220923.625
8979,1221391,1220993.750
8992,1221060,1221003.750
9004,1220553,1220936.125
9016,1220604,1220886.375
9029,1221446,1220970.375
9041,1221152,1220997.625
9053,1220540,1220929.000
9066,1220843,1220916.125
9078,1221420,1220991.750
9090,1221045,1220999.750
9103,1220513,1220926.750
9115,1220923,1220926.250
9127,1221327,1220986.375
9140,1220789,1220956.750
9152,1220383,1220870.750
9164,1221129,1220909.500
9177,1221263,1220962.625
9189,1220747,1220930.250
9201,1220418,1220853.500
9214,1221196,1220904.875
9226,1221146,1220941.125
9238,1220606,1220890.875
9251,1220517,1220834.750
9263,1221383,1220917.000
9275,1221203,1220960.000
9288,1220594,1220905.125
9300,1220576,1220855.750
9312,1221411,1220939.125
9325,1221124,1220966.875
9337,1220534,1220902.000
9349,1220665,1220866.500
9362,1221379,1220943.375
9374,1220998,1220951.625
9386,1220443,1220875.375
9399,1220808,1220865.375
9411,1221364,1220940.250
9423,1220853,1220927.250
9436,1220334,1220838.250
9448,1220863,1220842.000
9460,1221319,1220913.625
9473,1220807,1220897.625
9485,1220376,1220819.375
9497,1221114,1220863.625
9510,1221200,1220914.125
9522,1220742,1220888.375
9534,1220407,1220816.125
9547,1221228,1220878.000
9559,1221186,1220924.250
9571,1220575,1220871.875
9584,1220412,1220802.875
9596,1221165,1220857.250
9608,1220924,1220867.250
9621,1220401,1220797.375
9633,1220471,1220748.500
9645,1221532,1220866.000
9658,1221200,1220916.125
9670,1220546,1220860.625
9682,1220695,1220835.875
9695,1221399,1220920.375
9707,1220941,1220923.500
9720,1220432,1220849.750
9732,1220879,1220854.125
9744,1221357,1220929.625
9757,1220804,1220910.750
9769,1220403,1220834.625
9781,1221052,1220867.250
9794,1221375,1220943.500
9806,1220774,1220918.125
9818,1220366,1220835.375
9831,1221192,1220888.875
9843,1221233,1220940.500
9855,1220717,1220907.000
9868,1220454,1220839.125
9880,1221225,1220897.125
9892,1221143,1220934.000
9905,1220678,1220895.625
9917,1220522,1220839.625
9929,1221347,1220915.750
9942,1221011,1220930.125
9954,1220476,1220862.000
